Location,Address,Size of Billboard,Literacy Rate,Male,Female,Young,Middle Age,Old Age,Poor,Middle Class,Rich,Cost,Vehicle Count,Link
Andheri (EAST) 37142,"Opposite Hubtown Solaris, Traffic From Kapaswad",600,91.6,53.475,46.525,45,49.8,5.2,51,17,32,117000,5350,https://www.themediaant.com/outdoor/hoarding-andheri-east-mumbai-37412
Andheri (EAST) 37713,"Near Poonam Plaza, Traffic From Andheri West",1600,91.6,53.475,46.525,45,49.8,5.2,51,17,32,107000,6160,https://www.themediaant.com/outdoor/hoarding-andheri-east-mumbai-37713
Andheri (EAST) 48527,"Opposite station, Back Side MC Donalds - MW 0261A",80,91.6,53.475,46.525,45,49.8,5.2,51,17,32,5500,5320,https://www.themediaant.com/outdoor/bus-shelter-andheri-west-mumbai-48527
Andheri (EAST) 48537,"Opposite station, Back Side MC Donalds - MW 0260B",80,91.6,53.475,46.525,45,49.8,5.2,51,17,32,5500,5300,https://www.themediaant.com/outdoor/bus-shelter-andheri-west-mumbai-48537
Andheri (EAST) 48544,Opposite German Remedies - MW 0338A,80,91.6,53.475,46.525,45,49.8,5.2,51,17,32,5500,5290,https://www.themediaant.com/outdoor/bus-shelter-andheri-east-mumbai-48544
Andheri (EAST) 48546,"Outside Choice Bakery,Near Hotel Leela - MW 0346A",90,91.6,53.475,46.525,45,49.8,5.2,51,17,32,6500,5710,https://www.themediaant.com/outdoor/bus-shelter-andheri-east-mumbai-48546
Andheri (EAST) 48549,Opposite Parke Davis - MW 0359A,600,91.6,53.475,46.525,45,49.8,5.2,51,17,32,19000,6150,https://www.themediaant.com/outdoor/bus-shelter-andheri-east-mumbai-48549
Andheri (EAST) 37029,Opposite Essence Transmedia Private Limited,1600,91.6,53.475,46.525,45,49.8,5.2,51,17,32,164000,7750,https://www.themediaant.com/outdoor/hoarding-andheri-east-mumbai-37029
Andheri (EAST) 37030,Beside Canara Bank - S.S.B. Branch,800,91.6,53.475,46.525,45,49.8,5.2,51,17,32,35000,6450,https://www.themediaant.com/outdoor/hoarding-andheri-west-mumbai-37030
Andheri (EAST) 37174,"Andheri, Jog Flyover, Traffic From Andheri",1600,91.6,53.475,46.525,45,49.8,5.2,51,17,32,105000,4890,https://www.themediaant.com/outdoor/hoarding-jogeshwari-mumbai-37174
Andheri (EAST) 37177,"Andheri ROB, Traffic From Andheri East",800,91.6,53.475,46.525,45,49.8,5.2,51,17,32,59000,6770,https://www.themediaant.com/outdoor/hoarding-andheri-west-mumbai-37177
Andheri (EAST) 37484,Andheri Highway Nr Bahar Cinema,400,91.6,53.475,46.525,45,49.8,5.2,51,17,32,140000,5690,https://www.themediaant.com/outdoor/hoarding-andheri-east-mumbai-37184
Andheri 37258,"Near Pump House, Traffic From Jogeshwari East",1600,91.6,53.475,46.525,45,49.8,5.2,51,17,32,152000,4570,https://www.themediaant.com/outdoor/hoarding-jogeshwari-east-mumbai-37258
Andheri 37259,"Near Pump House, Traffic From Vile Parle",1600,91.6,53.475,46.525,45,49.8,5.2,51,17,32,117000,5460,https://www.themediaant.com/outdoor/hoarding-jogeshwari-east-mumbai-37259
Andheri 37260,"Near Pump House, Traffic From Jogeshwari East",400,91.6,53.475,46.525,45,49.8,5.2,51,17,32,70000,6590,https://www.themediaant.com/outdoor/hoarding-jogeshwari-east-mumbai-37260
Andheri 37261,"Near Pump House, Traffic From Vile Parle",400,91.6,53.475,46.525,45,49.8,5.2,51,17,32,70000,6130,https://www.themediaant.com/outdoor/hoarding-jogeshwari-east-mumbai-37261
Andheri 37262,"Near Andheri RS Sub Post Office, S V Road",400,91.6,53.475,46.525,45,49.8,5.2,51,17,32,41000,4530,https://www.themediaant.com/outdoor/hoarding-andheri-east-mumbai-37262
Andheri 37263,"Near Andheri RS Sub Post Office, S V Road",380,91.6,53.475,46.525,45,49.8,5.2,51,17,32,41000,6500,https://www.themediaant.com/outdoor/hoarding-andheri-east-mumbai-37263
Andheri 37499,"Near Hotel Oyster, Traffic From JVPD Towards",600,91.6,53.475,46.525,45,49.8,5.2,51,17,32,33000,5320,https://www.themediaant.com/outdoor/hoarding-andheri-west-mumbai-37749
Chembur 22381,"R. K. Studio, V. N. Purav Road, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5490,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-22318
Chembur 22309,"Panjra Pol, Gidwani Marg, Deonar",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5510,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-22309
Chembur 22320,"Sanduwadi, V. N. Purav Road, Chembur",189,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5520,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-22320
Chembur 22324,"Chembur Naka, R. C. Chemburkar Road, Chembur",189,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5550,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-22324
Chembur 21936,"Umarshi Bappa Chowk, S. G. Barve Road, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5500,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21936
Chembur 22319,"R. K. Studio, V. N. Purav Road, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5480,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-22319
Chembur 22327,"Khardeo Nagar, Khardeo Ghatla Road, Chembur",132,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5490,https://www.themediaant.com/outdoor/bus-shelter-khardev-nagar-mumbai-22327
Chembur 22326,"Amar Cinema, Waman Tukaram Patil Marg, Chembur",173,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5560,https://www.themediaant.com/outdoor/bus-shelter-nagesh-patilwadi-mumbai-22326
Chembur 21942,"Basant Park, R. C. Chemburkar Road, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5470,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21942
Chembur 22294,"Maitri Park, V. N. Purav Road, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5470,https://www.themediaant.com/outdoor/bus-shelter-vn-purab-marg-mumbai-22294
Chembur 22317,"Panjra Pol, Gidwani Marg, Chembur",231,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5550,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-22317
Chembur 21934,"Umarshi Bappa Chowk, V. N. Purav Road, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5500,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21934
"Bandra West, 48425",OppositeD'monte Park - MW 0075,200,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,19000,7520,https://www.themediaant.com/outdoor/bus-shelter-bandra-west-mumbai-48425
"Bandra West, 48413",OppositePolice Station / Opposite BMC Office / Near Bhabha Hospital - MW 0051,150,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,19000,7600,https://www.themediaant.com/outdoor/bus-shelter-bandra-west-mumbai-48413
"Bandra West, 48426",Outside Hongkong Bank ATM / On Pali Naka - MW 0077A,200,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,19000,7700,https://www.themediaant.com/outdoor/bus-shelter-bandra-west-mumbai-48426
"Bandra West, 48430",Near Bandra Bus Station - MW 0086,200,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,6500,5720,https://www.themediaant.com/outdoor/bus-shelter-bandra-west-mumbai-48430
"Bandra West, 48417","Near Baskin Robbins, Near. Linking Road Crossing - MW 0057",200,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,19000,7580,https://www.themediaant.com/outdoor/bus-shelter-bandra-west-mumbai-48417
"Bandra West, 48424",Near Joggers Park - MW 0073,200,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,19000,7650,https://www.themediaant.com/outdoor/bus-shelter-bandra-west-mumbai-48424
"Bandra West, 48428","Station Road,Opposite Cooper chimney - MW 0080",150,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,6500,5750,https://www.themediaant.com/outdoor/bus-shelter-bandra-west-mumbai-48428
"Bandra West, 48443",Opposite Movie Time / Near Gaiety Galaxy Theatre - MW 0109,200,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,19000,7660,https://www.themediaant.com/outdoor/bus-shelter-bandra-west-mumbai-48443
"Bandra West, 48450",Near Elco Market / Near Globus / Near Bhabha Hospital - MW 0049,200,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,19000,7700,https://www.themediaant.com/outdoor/bus-shelter-bandra-west-mumbai-48450
"Bandra West, 48678",Outside Blues Bizaar / Outside Amarsons / Near National College - MW 0095,200,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,33000,8200,https://www.themediaant.com/outdoor/bus-shelter-bandra-west-mumbai-48678
"Bandra West, 48410",Near the church - MW 0047,200,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,19000,7660,https://www.themediaant.com/outdoor/bus-shelter-bandra-west-mumbai-48410
"Bandra West, 48416",Opposite Pali market - MW 0056,200,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,19000,7550,https://www.themediaant.com/outdoor/bus-shelter-bandra-west-mumbai-48416
"Bandra West, 48427",Near Park Avenue S/room / Outside SBI ATM - MW 0078,200,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,19000,7650,https://www.themediaant.com/outdoor/bus-shelter-bandra-west-mumbai-48427
"Bandra West, 48433",Opposite Blues Bizaar / Opposite Amarsons / Near National College - MW 0094,200,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,33000,8160,https://www.themediaant.com/outdoor/bus-shelter-bandra-west-mumbai-48433
"Bandra West, 48434",Opposite Blues Bizaar / Opposite Amarsons / Near National College - MW 0094,200,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,33000,8200,https://www.themediaant.com/outdoor/bus-shelter-bandra-west-mumbai-48434
"Bandra West, 48462",Next to Copper Chimney - MW 0079,200,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,6500,5780,https://www.themediaant.com/outdoor/bus-shelter-bandra-west-mumbai-48462
"Bandra West, 48728",Opposite Movie Time / Near Gaiety Galaxy Theatre - MW 0110A,200,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,19000,7560,https://www.themediaant.com/outdoor/bus-shelter-bandra-west-mumbai-48728
"Bandra West, 48423",Near Joggers Park - MW 0072,200,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,19000,7500,https://www.themediaant.com/outdoor/bus-shelter-bandra-west-mumbai-48423
"Bandra West, 48472",Outside Shoppers stop - MW 0093,200,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,33000,8180,https://www.themediaant.com/outdoor/bus-shelter-bandra-west-mumbai-48472
"Bandra West, 48677",Outside Shoppers stop - MW 0093,200,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,33000,8220,https://www.themediaant.com/outdoor/bus-shelter-bandra-west-mumbai-48677
"Bandra, 24803","Bandra : Linking Road Near Amarsons, Facing traffic from Bandra towards Khar",400,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,70000,6830,https://www.themediaant.com/outdoor/hoarding-khar-west-mumbai-23170
"Mahim, 36789","Opposite St. Michael's Church, At Bus Depot, Mahim Causeway, Traffic From Mahim Junction Towards Reclamation (Right Hand Side)",1032,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,94000,7340,https://www.themediaant.com/outdoor/hoarding-mahim-mumbai-36789
"Mahim, 24775",Mahim Causway Intersection Junction ( Left Hand Side ),400,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,128500,7560,https://www.themediaant.com/outdoor/hoarding-mahim-mumbai-24775
"Mahim, 22120","Mahim, L. J. Road, Mahim",142,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,23500,7850,https://www.themediaant.com/outdoor/bus-shelter-mahim-mumbai-22120
"Mahim, 36786","Opposite St. Michael's Church, At Bus Depot, Mahim Causeway, Traffic From Mahim Junction Towards Reclamation (Right Hand Side)",1200,91.6,52.6,47.4,50,41,9,40.8,12.3,46.9,560000,8890,https://www.themediaant.com/outdoor/hoarding-mahim-mumbai-36786
Chembur 21939,"Bhakti Bhavan, Hemu Kalani Marg, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5500,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21939
Chembur 21935,"Umarshi Bappa Chowk, V. N. Purav Road, Chembur",132,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5520,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21935
Chembur 22321,"Sanduwadi, V. N. Purav Road, Chembur",106,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5620,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-22321
Chembur 22311,"Wadavli Gaon, Gidwani Marg, Chembur",94,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5570,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-22311
Chembur 21941,"Basant Park, R. C. Chemburkar Road, Chembur",94,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5510,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21941
Chembur 21962,"Basant Park, R. C. Chemburkar Road, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5490,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21962
Chembur 21966,"Chembur Naka, V. N. Purav Road, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,23500,7780,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21966
Chembur 21969,"Suman Nagar, V. N. Purav Road, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5510,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21969
Chembur 21937,"Umarshi Bappa Chowk, S. G. Barve Road, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5490,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21937
Chembur 21968,"Suman Nagar, V. N. Purav Road, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5620,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21968
Chembur 21961,"Navjeevan Society, R. C. Chemburkar Road, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5570,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21961
Chembur 21954,"Ajij Baug, R. C. Chemburkar Road, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5510,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21954
Chembur 21957,"Chembur Colony, R. C. Chemburkar Road, Chembur",94,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5520,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21957
Chembur 21933,"Suman Nagar, V. N. Purav Road, Chembur",231,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5620,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21933
Chembur 21943,"Navjeevan Colony, R. C. Chemburkar Road, Chembur",231,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5570,https://www.themediaant.com/outdoor/bus-shelter-navajeevan-society-mumbai-21943
Chembur 21944,"Chembur Colony, R. C. Chemburkar Road, Chembur",231,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5510,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21944
Chembur 22341,"Ambedkar Udyan, Dayanand Saraswati Marg, Chembur",231,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5490,https://www.themediaant.com/outdoor/bus-shelter-chembur-gaothan-mumbai-22341
Chembur 21940,"Basant Park, R. C. Chemburkar Road, Chembur",94,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5500,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21940
Chembur 21947,"Ajij Baug, R. C. Chemburkar Road, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5480,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21947
Chembur 22314,"Golf Club, Gidwani Marg, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5540,https://www.themediaant.com/outdoor/bus-shelter-chembur-colony-mumbai-22314
Chembur 22342,"Ambedkar Udyan, Dayanand Saraswati Marg, Chembur",132,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5530,https://www.themediaant.com/outdoor/bus-shelter-chembur-gaothan-mumbai-22342
Chembur 21946,"Marwali Church, R. C. Chemburkar Road, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5450,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21946
Chembur 21948,"Indian Oil, Ganpat Patil Marg, Chembur",132,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5610,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21948
Chembur 21956,"Marwali Church, R. C. Chemburkar Road, Chembur",94,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5630,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21956
Chembur 21967,"Umarshi Bappa Chowk, V. N. Purav Road, Chembur",94,83.4,54.054,45.946,50,41,9,64.7,15.3,20,23500,7750,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21967
Chembur 22310,"Wadavli Gaon, Gidwani Marg, Chembur",94,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5500,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-22310
Chembur 22313,"Golf Club, Gidwani Marg, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5540,https://www.themediaant.com/outdoor/bus-shelter-chembur-colony-mumbai-22313
Chembur 22958,"Chembur Colony, R. C. Chemburkar Road, Chembur",94,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5570,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21958
Chembur 21963,"Chembur Naka, V. N. Purav Road, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,23500,7680,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21963
Chembur 21938,"Bhakti Bhavan, Hemu Kalani Marg, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5570,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21938
Chembur 21960,"Chembur Colony, R. C. Chemburkar Road, Chembur",94,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5510,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21960
Chembur 22315,"Basant Cinema, Gidwani Marg, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5490,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-22315
Chembur 21945,"Chembur Colony, R. C. Chemburkar Road, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5500,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21945
Chembur 22316,"Basant Cinema, Gidwani Marg, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5620,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-22316
Chembur 21955,"Marwali Church, R. C. Chemburkar Road, Chembur",148,83.4,54.054,45.946,50,41,9,64.7,15.3,20,6000,5590,https://www.themediaant.com/outdoor/bus-shelter-chembur-east-mumbai-21955
Chembur 36903,Beside Bhabha Atomic Research Center Quarter,625,83.4,54.054,45.946,50,41,9,64.7,15.3,20,140000,4530,https://www.themediaant.com/outdoor/hoarding-chembur-mumbai-36903
Chembur 37476,"Near Rk Studio, Traffic From Vashi",320,83.4,54.054,45.946,50,41,9,64.7,15.3,20,117000,4120,https://www.themediaant.com/outdoor/hoarding-chembur-mumbai-37476
Chembur 37470,Near Tata Institute Of Social Sciences,800,83.4,54.054,45.946,50,41,9,64.7,15.3,20,234000,7770,https://www.themediaant.com/outdoor/hoarding-chembur-mumbai-37470
Chembur 37474,Near Indian Overseas Bank Officer's Quarters,520,83.4,54.054,45.946,50,41,9,64.7,15.3,20,129000,6190,https://www.themediaant.com/outdoor/hoarding-chembur-mumbai-37474
"Mulund, 14790","LBS Road, Traffic facing from Nirmal Lifestyle towards R Mall",1200,93.2,51.6,48.4,50,41,9,59.8,19,21.2,70000,5820,https://www.themediaant.com/outdoor/hoarding-mulund-dd-road-mumbai-14790
"Mulund, 14798","LBS Road, R Mall towards Nirmal Lifestyle",800,93.2,51.6,48.4,50,41,9,59.8,19,21.2,58500,5430,https://www.themediaant.com/outdoor/hoarding-mulund-dd-road-mumbai-14798
"Mulund, 14806","LBS Road,Traffic facing from R Mall towards Nirmal Life Style",800,93.2,51.6,48.4,50,41,9,59.8,19,21.2,58500,5450,https://www.themediaant.com/outdoor/hoarding-mulund-dd-road-mumbai-14806
"Bhandup West, 22354","Mulund Link Road, Traffic From Mulund To Airoli",320,93.2,51.6,48.4,50,41,9,59.8,19,21.2,47000,5210,https://www.themediaant.com/outdoor/hoarding-bhandup-west-mumbai-22354
"Mulund West, 22286","Veena Nagar, L. B. S. Road, Mulund (W)",106,93.2,51.6,48.4,50,41,9,59.8,19,21.2,6000,5590,https://www.themediaant.com/outdoor/bus-shelter-hansa-sagar-mumbai-22286
"Mulund West, 22279","Rally Wolf, L. B. S. Road, Mulund (W)",54,93.2,51.6,48.4,50,41,9,59.8,19,21.2,23500,7800,https://www.themediaant.com/outdoor/bus-shelter-asha-nagar-mumbai-22279
"Mulund West, 22282","Mehul Cinema, Jawaharlal Nehru Road, Mulund (W)",148,93.2,51.6,48.4,50,41,9,59.8,19,21.2,6000,5600,https://www.themediaant.com/outdoor/bus-shelter-indira-nagar-mumbai-22282
"Bhandup East, 23265",Nahur Link Road Traffic Moving from Nirmal lifestyle to Eastern express highway,800,93.2,51.6,48.4,50,41,9,59.8,19,21.2,63000,5600,https://www.themediaant.com/outdoor/hoarding-bhandup-east-mumbai-23265
"Bhandup West, 22226","Asian Paints, L. B. S. Road, Bhandup",231,93.2,51.6,48.4,50,41,9,59.8,19,21.2,6000,5630,https://www.themediaant.com/outdoor/bus-shelter-bhandup-west-mumbai-22226
"Mulund West, 22285","Santoshi Mata Mandir, L. B. S. Road, Mulund (W)",189,93.2,51.6,48.4,50,41,9,59.8,19,21.2,23500,7810,https://www.themediaant.com/outdoor/bus-shelter-mulund-west-mumbai-22285
"Bhandup East, 23266",Nahur Link Road Traffic Coming from Eastern express highway to Nirmal lifestyle,800,93.2,51.6,48.4,50,41,9,59.8,19,21.2,63000,6625,https://www.themediaant.com/outdoor/hoarding-bhandup-east-mumbai-23266
"Mulund West, 22273","Municipal Hospital, R. P. Road, Mulund (W)",148,93.2,51.6,48.4,50,41,9,59.8,19,21.2,6000,5610,https://www.themediaant.com/outdoor/bus-shelter-mulund-west-mumbai-22273
"Bhandup West, 22225","Asian Paints, L. B. S. Road, Bhandup",142,93.2,51.6,48.4,50,41,9,59.8,19,21.2,6000,5590,https://www.themediaant.com/outdoor/bus-shelter-bhandup-west-mumbai-22225
"Mulund West, 22274","Municipal Hospital, R. P. Road, Mulund (W)",231,93.2,51.6,48.4,50,41,9,59.8,19,21.2,6000,5620,https://www.themediaant.com/outdoor/bus-shelter-mulund-west-mumbai-22274
"Mulund West, 22272","Mulund Dnyan Sarita, N. S. Road, Mulund (W)",148,93.2,51.6,48.4,50,41,9,59.8,19,21.2,6000,5580,https://www.themediaant.com/outdoor/bus-shelter-mulund-west-mumbai-22272
"Mulund East, 22267","Mulund Station (E), Station Road, Mulund (E)",231,93.2,51.6,48.4,50,41,9,59.8,19,21.2,6000,5550,https://www.themediaant.com/outdoor/bus-shelter-mulund-east-mumbai-22267
